pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
28,538,04549,0,0,238.44,0,238.44,225.10065,53673,0,53673,26545,0,26545,27128,0,27128,25212,0,25212,14704,0,14704,10508,0,10508,10420,0,10420,5130,0,5130,5290,0,5290,2972,0,2972,1484,0,1484,1488,0,1488
28,538,04550,0,0,244.33,0,244.33,228.94037,55937,0,55937,27858,0,27858,28079,0,28079,22298,0,22298,13555,0,13555,8743,0,8743,8199,0,8199,4036,0,4036,4163,0,4163,15198,0,15198,7641,0,7641,7557,0,7557
28,538,04551,0,0,174.53,0,174.53,329.42761,57495,0,57495,28575,0,28575,28920,0,28920,26707,0,26707,15937,0,15937,10770,0,10770,9333,0,9333,4596,0,4596,4737,0,4737,3134,0,3134,1621,0,1621,1513,0,1513
28,538,04552,0,0,209.39,0,209.39,245.9382,51497,0,51497,25656,0,25656,25841,0,25841,19936,0,19936,12233,0,12233,7703,0,7703,9426,0,9426,4655,0,4655,4771,0,4771,4247,0,4247,2131,0,2131,2116,0,2116
28,538,04553,0,0,215.01,0,215.00999,269.50375,57946,0,57946,28874,0,28874,29072,0,29072,21912,0,21912,13627,0,13627,8285,0,8285,10742,0,10742,5296,0,5296,5446,0,5446,2567,0,2567,1296,0,1296,1271,0,1271
28,538,04554,0,0,229.8,0,229.8,293.27676,67395,0,67395,33583,0,33583,33812,0,33812,26627,0,26627,16450,0,16450,10177,0,10177,11026,0,11026,5544,0,5544,5482,0,5482,8529,0,8529,4278,0,4278,4251,0,4251
28,538,04555,0,0,170.91,0,170.91,322.06424,55044,0,55044,27690,0,27690,27354,0,27354,23094,0,23094,14021,0,14021,9073,0,9073,8084,0,8084,4050,0,4050,4034,0,4034,10355,0,10355,5253,0,5253,5102,0,5102
28,538,04556,0,0,216.11,0,216.11,240.90047,52061,0,52061,26310,0,26310,25751,0,25751,24073,0,24073,14659,0,14659,9414,0,9414,9436,0,9436,4766,0,4766,4670,0,4670,6100,0,6100,3131,0,3131,2969,0,2969
28,538,04557,0,0,305.68,0,305.67999,218.09737,66668,0,66668,33979,0,33979,32689,0,32689,29884,0,29884,18398,0,18398,11486,0,11486,10878,0,10878,5429,0,5429,5449,0,5449,20892,0,20892,10898,0,10898,9994,0,9994
28,538,04558,0,0,258.9,0,258.89999,233.75049,60518,0,60518,30534,0,30534,29984,0,29984,27332,0,27332,16351,0,16351,10981,0,10981,13889,0,13889,7026,0,7026,6863,0,6863,4004,0,4004,2078,0,2078,1926,0,1926
28,538,04559,.40552059,0,266.1,13.58,279.67999,402.72098,66958,45675,112633,34033,23328,57361,32925,22347,55272,33956,32238,66194,20341,17806,38147,13615,14432,28047,12124,2840,14964,6060,1407,7467,6064,1433,7497,10526,1081,11607,5474,554,6028,5052,527,5579
28,538,04560,.16123296,0,186.44,9.390000000000001,195.83,333.15121,54722,10519,65241,28358,5635,33993,26364,4884,31248,28227,6922,35149,16958,4068,21026,11269,2854,14123,9195,1223,10418,4652,601,5253,4543,622,5165,5732,440,6172,2983,197,3180,2749,243,2992
28,538,04561,0,0,223.43,0,223.42999,190.62794,42592,0,42592,21715,0,21715,20877,0,20877,21088,0,21088,12786,0,12786,8302,0,8302,8904,0,8904,4523,0,4523,4381,0,4381,4163,0,4163,2133,0,2133,2030,0,2030
28,538,04562,0,0,304.07,0,304.07001,173.75932,52835,0,52835,27020,0,27020,25815,0,25815,24324,0,24324,14998,0,14998,9326,0,9326,11006,0,11006,5624,0,5624,5382,0,5382,11063,0,11063,5708,0,5708,5355,0,5355
