pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_town_id,pc11_td_all_hosp,pc11_td_all_hosp_beds,pc11_td_all_hosp_doc_tot,pc11_td_all_hosp_doc_pos,pc11_td_all_hosp_pmed_tot,pc11_td_all_hosp_pmed_pos,pc11_td_alt_hospital,pc11_td_alt_hosp_beds,pc11_td_alt_hosp_doc_tot,pc11_td_alt_hosp_doc_pos,pc11_td_alt_hosp_pmed_tot,pc11_td_alt_hosp_pmed_pos,pc11_td_disp,pc11_td_disp_beds,pc11_td_disp_doc_tot,pc11_td_disp_doc_pos,pc11_td_disp_pmed_tot,pc11_td_disp_pmed_pos,pc11_td_fwc_beds,pc11_td_fwc_doc_tot,pc11_td_fwc_doc_pos,pc11_td_fwc_pmed_tot,pc11_td_fwc_pmed_pos,pc11_td_mcwc_beds,pc11_td_mcwc_doc_tot,pc11_td_mcwc_doc_pos,pc11_td_mcmw_pmed_tot,pc11_td_mcwc_pmed_pos,pc11_td_mh_beds,pc11_td_mh_doc_tot,pc11_td_mh_doc_pos,pc11_td_mh_pmed_tot,pc11_td_mh_pmed_pos,pc11_td_tbc,pc11_td_tbc_beds,pc11_td_tbc_doc_tot,pc11_td_tbc_doc_pos,pc11_td_tbc_pmed_tot,pc11_td_tbc_pmed_pos,pc11_td_nh,pc11_td_nh_beds,pc11_td_nh_doc_tot,pc11_td_nh_doc_pos,pc11_td_nh_pmed_tot,pc11_td_nh_pmed_pos,pc11_td_veth_beds,pc11_td_veth_doc_tot,pc11_td_veth_doc_pos,pc11_td_veth_pmed_tot,pc11_td_veth_pmed_pos,pc11_td_mh,pc11_td_mhc_beds,pc11_td_mhc_doc_tot,pc11_td_mhc_doc_pos,pc11_td_mhc_pmed_tot,pc11_td_mhc_pmed_pos,pc11_td_med_oth,pc11_td_med_oth_beds,pc11_td_med_oth_doc_tot,pc11_td_med_oth_doc_pos,pc11_td_med_oth_pmed_tot,pc11_td_med_oth_pmed_pos,pc11_td_med_oth_dist,pc11_td_in_out_pat,pc11_td_c_hosp_home,pc11_td_med_shop,pc11_td_medical_gov_status,pc11_td_medical_gov,pc11_td_medical_priv_status,pc11_td_medical_priv,pc11_td_medical_near_status,pc11_td_medical_near,pc11_td_medical_dist,pc11_pca_tot_p
01,002,00005,800016,1,21,12,11,12,12,0,0,0,0,0,0,1,50,4,4,28,24,5,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,government,SRINAGAR,22,5470
01,002,00005,800017,1,20,11,8,80,80,0,0,0,0,0,0,1,12,2,2,22,12,6,1,1,2,2,2,1,1,2,2,1,3,2,1,12,0,0,0,0,0,0,1,8,6,4,4,4,0,2,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,9,0,0,0,0,government,SRINAGAR,34,8192
01,002,00006,800018,1,50,14,11,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,9,9,2,5,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,government,SRINAGAR,22,2630
01,002,00007,000720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,government,SRINAGAR,15,7461
01,002,00007,800019,1,100,47,40,77,63,0,0,0,0,0,0,2,10,7,7,24,24,4,1,1,2,2,0,0,0,0,0,4,1,1,4,4,1,2,3,3,5,5,0,0,0,0,0,0,0,12,12,34,34,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0,government,SRINAGAR,13,15338
01,002,00008,000829,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,0,0,government,SRINAGAR,50,7365
01,002,00008,000830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,government,SRINAGAR,15,13889
01,002,00008,800020,1,25,26,26,69,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,government,SRINAGAR,12,6482
01,002,00009,800021,1,100,30,15,110,95,0,0,0,0,0,0,1,12,1,1,4,4,24,1,1,14,9,10,3,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,government,SRINAGAR,16,11533
01,003,00010,000909,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,government,SRINAGAR,424,4047
