lgd_state_id,lgd_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_pca_tot_work_p,pc11r_pca_main_cl_p,pc11r_pca_main_hh_p,pc11r_pca_main_ot_p,pc11r_pca_margwork_p,pc11r_pca_marg_cl_p,pc11r_pca_marg_hh_p,pc11r_pca_marg_ot_p,pc11r_pca_margwork36_p,pc11r_pca_marg_cl36_p,pc11r_pca_marg_al36_p,pc11r_pca_marg_hh36_p,pc11r_pca_marg_ot36_p,pc11r_pca_margwork03_p,pc11r_pca_marg_cl03_p,pc11r_pca_marg_al03_p,pc11r_pca_marg_hh03_p,pc11r_pca_marg_ot03_p,pc11r_pca_non_work_p,pc11u_pca_main_cl_p,pc11_pca_main_cl_p,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
22,374,677582,145152,822734,.61747497,.02364004,.64111501,55223,122910,2257,57480,175.88184,1209.4993,207.10767,338760,83134,2412,35641,162350,31661,1441,6338,131904,26836,98650,1196,5222,30446,4825,24260,245,1116,338822,3040,86174,3852.484218657017,120.01,3972.4941,176410,47659,224069
22,375,1342840,614431,1957271,.50887531,.025541103,.53441644,174813,189398,8583,183396,294.78812,3340.0249,412.99329,648075,117429,6991,81239,267603,46000,4927,27278,211323,35777,153419,3582,18545,56280,10223,35979,1345,8733,694765,6085,123514,4555.271886259317,183.96,4739.2319,380472,193818,574290
22,376,215448,68031,283479,.64172703,.013410515,.65513754,7624,22807,355,7979,97.661858,692.14569,123.01903,120093,50134,491,10434,51410,25094,282,3227,44894,22853,19800,156,2085,6516,2241,3007,126,1142,95355,852,50986,2206.060897678137,98.29000000000001,2304.3508,68683,21321,90004
22,377,650586,149195,799781,.72915721,.038638152,.76779538,127452,42515,8403,135855,309.97147,1514.8239,363.97562,342553,117084,3525,34897,59595,13379,513,3188,47400,9891,34874,383,2252,12195,3488,7641,130,936,308033,4555,121639,2098.857669442892,98.48999999999999,2197.3477,282958,52410,335368
22,378,617248,1104700,1721948,.26520583,.025305513,.29051134,89974,55988,8845,98819,320.26505,9397.7031,842.08856,296220,61894,3584,64613,76155,11367,1070,7730,64675,9387,48181,859,6248,11480,1980,7807,211,1482,321028,5646,67540,1927.30370247364,117.55,2044.8538,220065,352577,572642
22,379,1394646,225061,1619707,.68580627,.037749492,.72355574,143970,235710,9751,153721,370.46527,1095.8806,407.99182,753143,172795,5498,70582,360298,96928,4207,23453,261644,65433,176387,3111,16713,98654,31495,59323,1096,6740,641503,7685,180480,3764.579510137439,205.37,3969.9497,392845,69042,461887
22,380,775677,75992,851669,.81300431,.015012923,.82801723,91073,102013,2078,93151,148.02609,963.02118,160.11684,460143,145795,4737,28675,189863,77031,2410,8409,138835,53199,77798,1818,6020,51028,23832,24215,592,2389,315534,2296,148091,5240.137200847268,78.91,5319.0474,270280,21069,291349
22,381,671546,76761,748307,.78757787,.014584386,.80216223,62201,62131,2476,64677,143.35851,1213.229,157.61623,359377,162391,4301,31114,99370,29099,1534,6606,82298,24009,53159,973,4157,17072,5090,8972,561,2449,312169,1683,164074,4684.381800468778,63.27,4747.6519,260007,25161,285168
22,382,735131,87395,822526,.83159924,.022828227,.85442746,116642,62938,4027,120669,270.13235,1556.4559,296.13651,372200,146955,1596,23536,83471,17302,357,2874,71750,13985,55229,285,2251,11721,3317,7709,72,623,362931,3209,150164,2721.373258799314,56.15000000000001,2777.5232,288729,28247,316976
22,383,758664,446290,1204954,.5032863,.022561269,.52584755,90773,122840,3678,94451,185.52757,7365.7368,290.36331,374074,85345,3184,40888,153884,21541,1712,7791,130378,18099,105740,1329,5210,23506,3442,17100,383,2581,384590,4217,89562,4089.225071400404,60.59,4149.8149,220190,129746,349936
22,384,453017,205299,658316,.54922003,.013789354,.56300938,26536,64858,628,27164,194.72488,2413.8625,272.99063,245609,68417,1726,24118,124812,46657,1959,11338,96065,35447,51243,1393,7982,28747,11210,13615,566,3356,207408,1756,70173,2326.446440935135,85.05000000000001,2411.4966,120797,52090,172887
22,385,912602,120152,1032754,.77179122,.014134306,.78592557,153577,119742,3022,156599,240.21655,2025.4889,267.66376,455388,109451,3863,34773,153724,27812,1059,5111,130946,23403,102714,834,3995,22778,4409,17028,225,1116,457214,1795,111246,3799.080406636,59.32000000000001,3858.4004,301664,39138,340802
22,386,1247682,246302,1493984,.69604331,.015888631,.71193194,176621,139512,4660,181281,253.81633,2061.1045,296.70865,604942,160873,5485,65615,196348,43924,2519,10393,159755,33275,117416,2045,7019,36593,10649,22096,474,3374,642740,3044,163917,4915.688578948379,119.5,5035.1885,408594,76281,484875
