lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
10,203,1,21,81,10,0,9,95,97,12,0,92,16,0
10,204,3,38,131,10,0,18,111,109,18,0,110,5,1
10,205,1,9,0,13,0,30,144,144,30,0,32,3,1
10,206,2,27,70,81,3,56,354,73,59,0,85,4,0
10,207,2,32,145,24,2,10,122,26,10,0,26,15,0
10,208,4,118,236,36,0,24,346,100,31,0,98,47,3
10,209,5,39,73,15,3,40,319,51,44,0,58,29,0
10,210,1,62,181,62,1,10,226,216,58,0,215,10,1
10,211,4,41,82,50,2,41,391,250,52,0,58,17,0
10,212,15,579.6428565979004,3347,129,0,97,258,116,98,0,105,46,5
10,213,5,42,75,41,0,40,434,385,48,0,405,20,3
10,214,1,30,239,9,2,18,215,18,19,0,18,1,1
10,215,3,14,85,104,1,73,180,181,88,0,187,12,1
10,216,1,14,107,6,0,10,138,16,15,0,11,0,0
10,217,5,19,60,71,1,48,332,327,49,0,323,19,0
10,218,4,288,2134,32,2,24,275,48,34,0,47,57,0
10,219,2,50,86,19,0,17,94,96,17,0,95,37,0
10,220,1,70,240,9,0,5,62,5,5,0,7,3,1
10,221,1,10,57,53,1,44,257,252,45,0,253,0,0
10,222,2,19,60,39,2,43,417,83,63,0,65,27,0
10,223,1,23,69,25,2,24,147,52,26,0,148,2,0
10,224,2,20,70,2,2,33,279,306,50,0,59,0,0
10,611,1,10,25,5,0,26,71,69,28,0,69,0,1
11,225,2,124,91,46,0,6,42,7,6,0,47,0,1
11,226,1,8,49,22,0,3,22,3,3,0,23,0,1
11,227,2,26,46,44,0,5,40,41,5,0,42,0,1
11,228,1,13,30,43,0,7,41,7,7,0,46,0,1
12,229,2,9,51,3,2,6,23,0,0,0,0,0,1
12,230,1,2,37,1,0,1,2,0,0,0,0,0,1
12,231,1,7,12,1,1,5,26,1,0,0,1,0,0
12,232,2,39,95,5,2,6,16,0,1,0,0,0,1
12,233,1,14,7,0,0,3,15,0,0,0,0,0,0
12,234,1,10,85,3,0,3,13,0,0,0,0,0,1
12,235,4,37,61,1,2,4,19,0,1,0,0,0,1
12,236,1,14,114,0,0,3,24,9,0,1,4,0,0
12,237,3,72,86,5,3,6,40,1,1,1,1,0,1
12,238,3,11,35,4,1,6,16,2,0,2,3,0,1
