,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
178680,,,21900,39355,541,29,17450,5318,6531,38142,39355,650,5,5
178969,,,54966,103354,542,29,48380,11196,14153,100397,103354,10600,106,8
179258,1.0,,58826,102796,543,29,43960,6640,23903,85533,102796,10600,102,10
179547,,,72085,129942,544,29,57847,12397,8930,133409,129942,19100,189,10
179836,,,111315,210963,545,29,99623,29361,18368,221956,210963,25000,242,25
180125,,,59462,106075,546,29,46600,10247,23725,92597,106075,13800,136,13
180414,,,50009,95049,547,29,45037,14204,4904,104349,95049,17500,166,3
180703,,,81974,160109,548,29,78115,21015,9474,171650,160109,18100,171,20
180992,,,59736,105443,549,29,45692,18734,17652,106525,105443,17200,161,15
181281,,,60093,112176,550,29,52075,15299,8744,118731,112176,17200,161,8
181570,,,45028,84475,630,29,39440,7718,9199,82994,84475,8700,86,7
181859,,,53490,93198,631,29,39699,7488,12870,87816,93198,14000,131,9
182148,,,41201,71958,635,29,30752,4344,6651,69651,71958,9600,92,5
182437,,,25866,54476,551,30,28609,12283,0,66759,54476,2100,19,1
182726,1.0,,28984,59403,552,30,30416,9689,0,69092,59403,5200,28,3
183015,1.0,,1969,5912,553,31,3942,1834,0,7746,5912,1000,10,1
183304,,,142557,257291,554,32,114711,22989,15581,264699,257291,3600,20,23
183593,1.0,,217747,387583,555,32,169806,65840,14932,438491,387583,2720,24,30
183882,,,53261,99604,556,32,46331,12678,4868,107414,99604,4600,32,12
184171,,,136300,252730,557,32,116396,34438,12676,274492,252730,1250,9,34
184460,1.0,,68858,129684,558,32,60817,9975,6175,133484,129684,900,8,9
184749,,,139696,255136,559,32,115411,25118,6666,273588,255136,2800,18,29
185038,1.0,,130707,231973,560,32,101246,31194,8014,255153,231973,1000,6,20
185327,1.0,,150595,285532,561,32,134912,37410,13322,309620,285532,11350,100,25
185616,,,128433,248211,562,32,119755,26303,9926,264588,248211,8300,67,23
185905,,,131861,242793,563,32,110910,29116,7721,264188,242793,1050,7,22
